date, description
2024-01-01, Nieuwjaarsdag
2024-03-29, Goede Vrijdag
2024-03-31, Eerste Paasdag
2024-04-01, Tweede Paasdag
2024-04-27, Koningsdag
2024-05-05, Bevrijdingsdag
2024-05-09, Hemelvaartsdag
2024-05-19, Eerste Pinksterdag
2024-05-20, Tweede Pinksterdag
2024-12-25, Eerste Kerstdag
2024-12-26, Tweede Kerstdag
2025-01-01, Nieuwjaarsdag
2025-04-18, Goede Vrijdag
2025-04-20, Eerste Paasdag
2025-04-21, Tweede Paasdag
2025-04-26, Koningsdag
2025-05-05, Bevrijdingsdag
2025-05-29, Hemelvaartsdag
2025-06-08, Eerste Pinksterdag
2025-06-09, Tweede Pinksterdag
2025-12-25, Eerste Kerstdag
2025-12-26, Tweede Kerstdag
2026-01-01, Nieuwjaarsdag
2026-04-03, Goede Vrijdag
2026-04-05, Eerste Paasdag
2026-04-06, Tweede Paasdag
2026-04-27, Koningsdag
2026-05-05, Bevrijdingsdag
2026-05-14, Hemelvaartsdag
2026-05-24, Eerste Pinksterdag
2026-05-25, Tweede Pinksterdag
2026-12-25, Eerste Kerstdag
2026-12-26, Tweede Kerstdag
2026-12-31, Oudjaar
2027-01-01, Nieuwjaarsdag
2027-03-26, Goede Vrijdag
2027-03-28, Eerste Paasdag
2027-03-29, Tweede Paasdag
2027-04-27, Koningsdag
2027-05-05, Bevrijdingsdag
2027-05-06, Hemelvaartsdag
2027-05-16, Eerste Pinksterdag
2027-05-17, Tweede Pinksterdag
2027-12-25, Eerste Kerstdag
2027-12-26, Tweede Kerstdag
2027-12-31, Oudjaar
2028-01-01, Nieuwjaarsdag
2028-04-14, Goede Vrijdag
2028-04-16, Eerste Paasdag
2028-04-17, Tweede Paasdag
2028-04-27, Koningsdag
2028-05-05, Bevrijdingsdag
2028-05-25, Hemelvaartsdag
2028-06-04, Eerste Pinksterdag
2028-06-05, Tweede Pinksterdag
2028-12-25, Eerste Kerstdag
2028-12-26, Tweede Kerstdag
2028-12-31, Oudjaar
